id,relato_usuario,essencia_sugerida
430,"Não sei se compro ou alugo",Scleranthus
431,"Tenho medo de injeção e hospital",Mimulus
432,"Sinto medo de sensações corporais",Aspen
433,"O terror me fez gritar",Rock Rose
434,"Estou sem fé na vida",Gorse
435,"Fico irritado com a burocracia",Impatiens
436,"Sou servil e não reclamo",Centaury
437,"Busco agito para não pensar",Agrimony
438,"Manipulo com doenças para ter atenção",Chicory
439,"Sou intenso na defesa dos animais",Vervain
440,"Fico indeciso entre dois caminhos",Scleranthus
441,"Tenho medo de aranha e barata",Mimulus
442,"Sinto medo de pesadelos",Aspen
443,"Tive pânico de altura na escada",Rock Rose
444,"Acho que meu destino é sofrer",Gorse
445,"Sou rápido e quero que todos sejam",Impatiens
446,"Faço favores e me arrependo",Centaury
447,"Sou a alegria da casa, mas sofro",Agrimony
448,"Cuido de todos e ninguém cuida de mim",Chicory
449,"Sou insistente e chato com minhas ideias",Vervain
450,"Não sei se caso ou compro um terreno",Scleranthus
451,"Tenho medo de perder quem amo",Mimulus
452,"Sinto medo de espíritos",Aspen
453,"Fiquei gelado de terror",Rock Rose
454,"Não vejo solução para meus problemas",Gorse
455,"Odeio esperar em consultório",Impatiens
456,"Sou muito bonzinho e bobo",Centaury
457,"Disfarço a tristeza com bebida",Agrimony
458,"Sou ciumenta com meus filhos",Chicory
459,"Sou fervoroso nas minhas crenças",Vervain
460,"Fico mudando de opinião toda hora",Scleranthus
461,"Tenho medo de elevador quebrar",Mimulus
462,"Sinto medo de pressentimentos",Aspen
463,"O pânico me paralisou no trânsito",Rock Rose
464,"Estou resignado com a dor",Gorse
465,"Sou ansioso e quero tudo rápido",Impatiens
466,"Não sei dizer não para o chefe",Centaury
467,"Evito brigas fingindo concordar",Agrimony
468,"Me faço de vítima para ter carinho",Chicory
469,"Sou incansável no trabalho",Vervain
470,"Fico indeciso entre duas cores",Scleranthus
471,"Tenho medo de trovão e raio",Mimulus
472,"Sinto medo do escuro do quarto",Aspen
473,"Tive um ataque de terror noturno",Rock Rose
474,"Não tenho esperança de cura",Gorse
475,"Fico nervoso com gente lenta",Impatiens
476,"Faço tudo para não ter conflito",Centaury
477,"Estou sempre sorrindo, é minha máscara",Agrimony
478,"Sou possessiva com minhas coisas",Chicory
479,"Quero convencer o mundo da minha verdade",Vervain
480,"Oscilo entre sim e não rapidamente",Scleranthus
481,"Tenho medo de doença contagiosa",Mimulus
482,"Sinto medo de algo invisível",Aspen
483,"Fiquei petrificado no susto",Rock Rose
484,"Já desisti de ser feliz",Gorse
485,"Não tenho paciência para esperar",Impatiens
486,"Sou submisso e aceito ordens",Centaury
487,"Não gosto de mostrar fraqueza",Agrimony
488,"Cobro amor e gratidão",Chicory
489,"Sou tenso e agitado por ideais",Vervain
490,"Não sei se vou ou fico",Scleranthus
491,"Tenho medo de cobra e escorpião",Mimulus
492,"Sinto medo de sensações ruins",Aspen
493,"O terror me fez tremer as pernas",Rock Rose
494,"Estou sem ânimo para lutar",Gorse
495,"Sou apressado e atropelo a fala",Impatiens
496,"Não consigo negar nada a ninguém",Centaury
497,"Fujo de problemas com diversão",Agrimony
498,"Me sinto abandonada fácil",Chicory
499,"Sou fanático e exagerado",Vervain
500,"Fico indeciso o dia todo",Scleranthus
501,"Tenho medo de andar de avião à noite",Mimulus
502,"Sinto um medo inexplicável de manhã",Aspen
503,"Tive terror ao ver o acidente",Rock Rose
504,"Não tenho mais fé na vida",Gorse
505,"Fico irritado em filas de banco",Impatiens
506,"Sou capacho dos meus amigos",Centaury
507,"Sorrio para não chorar na frente dos outros",Agrimony
508,"Faço tudo pelos filhos e cobro",Chicory
509,"Tento converter todos ao meu estilo de vida",Vervain
510,"Não sei decidir entre praia e campo",Scleranthus
511,"Tenho medo de altura e varanda",Mimulus
512,"Sinto um medo vago no peito",Aspen
513,"Fiquei paralisado de pânico no elevador",Rock Rose
514,"Acho que não tem mais jeito",Gorse
515,"Odeio esperar o sinal abrir",Impatiens
516,"Não consigo dizer não para a mãe",Centaury
517,"Bebo para relaxar e esquecer",Agrimony
518,"Sou superprotetora e chata",Chicory
519,"Fico indignado com a política",Vervain
520,"Uma hora quero sair, outra ficar",Scleranthus
521,"Tenho medo de ficar pobre na velhice",Mimulus
522,"Acordo com medo sem saber o motivo",Aspen
523,"Sinto que vou desmaiar de pânico",Rock Rose
524,"Estou conformado com meu destino",Gorse
525,"Fico nervoso com internet discada",Impatiens
526,"Sou muito bonzinho no trabalho",Centaury
527,"Odeio clima pesado em casa",Agrimony
528,"Só quero que me amem como eu amo",Chicory
529,"Sou fanático pelo meu time/partido",Vervain
530,"É difícil escolher o que vestir",Scleranthus
531,"Tenho medo de aranha caranguejeira",Mimulus
532,"Sinto arrepios de medo do nada",Aspen
533,"Acordo gritando com pesadelos",Rock Rose
534,"Perdi a esperança no tratamento",Gorse
535,"Quero tudo resolvido para ontem",Impatiens
536,"Deixo de fazer minhas coisas pelos outros",Centaury
537,"Sou animado mas triste por dentro",Agrimony
538,"Organizo a vida dos outros sem pedir",Chicory
539,"Não desligo, estou sempre militando",Vervain
540,"Fico em dúvida entre dois filmes",Scleranthus
541,"Tenho medo de perder o emprego",Mimulus
542,"Sinto que algo ruim vai acontecer comigo",Aspen
543,"Fiquei mudo de tanto medo",Rock Rose
544,"Estou resignado e apático",Gorse
545,"Fico batendo o pé de pressa",Impatiens
546,"Sou dominado pelo marido/esposa",Centaury
547,"Uso calmantes para fingir estar bem",Agrimony
548,"Me sinto magoada se não seguem o que digo",Chicory
549,"Fico exausto de tanto lutar",Vervain
550,"Minha mente oscila muito",Scleranthus
551,"Tenho medo de falar em público",Mimulus
552,"Tenho medo de fantasmas no quarto",Aspen
553,"Entro em choque se vejo sangue",Rock Rose
554,"Não adianta tentar, vai dar errado",Gorse
555,"Não suporto gente devagar",Impatiens
556,"Acabo cedendo para não brigar",Centaury
557,"Minto que estou feliz",Agrimony
558,"Faço chantagem emocional com os filhos",Chicory
559,"Sou dono da razão e imponho ideias",Vervain
560,"Nunca sei o que escolher no cardápio",Scleranthus
561,"Tenho medo da morte",Mimulus
562,"Sinto medo do escuro e vultos",Aspen
563,"Sinto um pânico gelado",Rock Rose
564,"Estou condenado a ser infeliz",Gorse
565,"Como rápido demais",Impatiens
566,"Sou um mártir e me sacrifico",Centaury
567,"Busco festas para fugir da depressão",Agrimony
568,"Cobro atenção e carinho",Chicory
569,"Estou sempre tenso e alerta",Vervain
570,"Oscilo entre euforia e tristeza",Scleranthus
571,"Tenho medo de lugares fechados",Mimulus
572,"Sinto vibração ruim em certos lugares",Aspen
573,"Meus cabelos arrepiam de terror",Rock Rose
574,"Aceitei minha doença como fardo",Gorse
575,"Termino a frase dos outros",Impatiens
576,"Sempre cedo minha vez",Centaury
577,"Sou o pacificador da família",Agrimony
578,"Manipulo para ter companhia",Chicory
579,"Falo alto e gesticulo muito",Vervain
580,"Fico paralisado na dúvida",Scleranthus
581,"Tenho medo de agulha de injeção",Mimulus
582,"Tenho pesadelos que me assustam",Aspen
583,"Fiquei petrificado no assalto",Rock Rose
584,"Não há nada a fazer",Gorse
585,"Ando rápido na rua",Impatiens
586,"Faço o trabalho dos outros",Centaury
587,"Roo unhas de ansiedade escondida",Agrimony
588,"Gosto de ter todos sob minhas asas",Chicory
589,"Sou insistente e chato",Vervain
590,"Perco chances por indecisão",Scleranthus
591,"Tenho medo de cachorro bravo",Mimulus
592,"Sinto medo de assombração",Aspen
593,"Tive vontade de sair correndo de pânico",Rock Rose
594,"Não vejo chance de melhora",Gorse
595,"Sou elétrica e não paro",Impatiens
596,"Esqueço de mim pelos outros",Centaury
597,"Faço piada da minha desgraça",Agrimony
598,"Me sinto abandonada se não ligam",Chicory
599,"Fico revoltado com injustiças",Vervain
600,"Minha mente é uma gangorra",Scleranthus
601,"Tenho medo de escuro total",Mimulus
602,"Sinto uma angústia sem nome",Aspen
603,"Tenho pânico de avião caindo",Rock Rose
604,"Perdi as esperanças de ser feliz",Gorse
605,"Fico irritado com fila de banco",Impatiens
606,"Não consigo negar favores a amigos",Centaury
607,"Estou sempre rindo mas estou triste",Agrimony
608,"Faço tudo e ninguém reconhece",Chicory
609,"Preciso convencer as pessoas",Vervain
610,"Fico oscilando entre sim e não",Scleranthus
611,"Tenho pavor de altura",Mimulus
612,"Sinto um medo vago e ruim",Aspen
613,"Fiquei paralisado de medo",Rock Rose
614,"Desisti de tentar ser feliz",Gorse
615,"Odeio esperar, sou ansioso",Impatiens
616,"Sou capacho de todos",Centaury
617,"Bebo para esquecer a tristeza",Agrimony
618,"Ninguém cuida de mim direito",Chicory
619,"Luto contra tudo e todos",Vervain
620,"Hoje quero, amanhã não quero",Scleranthus
621,"Tenho medo de ir ao médico",Mimulus
622,"Acordo com medo e tremores",Aspen
623,"Sinto que vou morrer de medo",Rock Rose
624,"Acho que nasci para sofrer",Gorse
625,"Fico nervoso com computador lento",Impatiens
626,"Não sei negar nada",Centaury
627,"Odeio brigas, finjo concordar",Agrimony
628,"Quero meus filhos sempre perto",Chicory
629,"Sou fanático por minhas ideias",Vervain
630,"É difícil escolher roupa",Scleranthus
631,"Tenho medo de insetos",Mimulus
632,"Sinto arrepios no quarto",Aspen
633,"Acordo gritando à noite",Rock Rose
634,"Perdi a fé na vida",Gorse
635,"Quero tudo rápido",Impatiens
636,"Deixo de fazer o que quero",Centaury
637,"Sou alegre por fora, triste por dentro",Agrimony
638,"Organizo tudo e ninguém agradece",Chicory
639,"Não consigo desligar a mente",Vervain
640,"Fico em cima do muro",Scleranthus
641,"Tenho medo da pobreza",Mimulus
642,"Sinto que algo ruim vem aí",Aspen
643,"Fiquei cego de medo",Rock Rose
644,"Estou resignado com a dor",Gorse
645,"Fico batendo o pé de nervoso",Impatiens
646,"Sou dominado facilmente",Centaury
647,"Uso drogas para fugir",Agrimony
648,"Me sinto magoada se não ouvem",Chicory
649,"Fico exausto de lutar",Vervain
650,"Minha indecisão me cansa",Scleranthus
651,"Tenho medo de falar e travar",Mimulus
652,"Tenho medo de fantasmas",Aspen
653,"Entro em choque fácil",Rock Rose
654,"Não adianta mais tentar",Gorse
655,"Não suporto gente lerdar",Impatiens
656,"Faço o que querem para não brigar",Centaury
657,"Minto que estou ótimo",Agrimony
658,"Faço chantagem emocional",Chicory
659,"Sou dono da verdade",Vervain
660,"Nunca sei o que escolher",Scleranthus
661,"Tenho medo de morrer cedo",Mimulus
662,"Sinto medo do silêncio",Aspen
663,"Sinto um pânico na espinha",Rock Rose
664,"Estou condenado ao sofrimento",Gorse
665,"Como rápido demais, engulo",Impatiens
666,"Sou um mártir voluntário",Centaury
667,"Busco festas para não pensar",Agrimony
668,"Cobro amor demais",Chicory
669,"Estou sempre tenso e pilhado",Vervain
670,"Oscilo de humor rápido",Scleranthus
671,"Tenho medo de elevador",Mimulus
672,"Sinto vibração ruim aqui",Aspen
673,"Meus cabelos ficam em pé",Rock Rose
674,"Aceitei minha doença",Gorse
675,"Termino as frases dos outros",Impatiens
676,"Sempre cedo meu lugar",Centaury
677,"Sou o pacificador do grupo",Agrimony
678,"Manipulo as pessoas",Chicory
679,"Falo com muita força",Vervain
680,"Fico paralisado na escolha",Scleranthus
681,"Tenho medo de agulha",Mimulus
682,"Tenho pesadelos ruins",Aspen
683,"Fiquei petrificado",Rock Rose
684,"Não há mais nada a fazer",Gorse
685,"Ando sempre correndo",Impatiens
686,"Faço tudo pelos colegas",Centaury
687,"Roo as unhas de nervoso",Agrimony
688,"Quero todos sob minhas asas",Chicory
689,"Sou insistente demais",Vervain
690,"Perco chances por dúvida",Scleranthus
691,"Tenho medo de cachorro",Mimulus
692,"Sinto medo de vultos",Aspen
693,"Tive vontade de fugir",Rock Rose
694,"Não vejo chance de sucesso",Gorse
695,"Sou muito agitada",Impatiens
696,"Esqueço de mim mesma",Centaury
697,"Faço piada de tudo",Agrimony
698,"Me sinto abandonada",Chicory
699,"Fico revoltado com tudo",Vervain
700,"Minha mente é uma gangorra",Scleranthus
701,"Tenho receio de dívidas",Mimulus
702,"Sinto ansiedade sem motivo",Aspen
703,"Tenho pavor de más notícias",Rock Rose
704,"Acredito que vou sofrer",Gorse
705,"Fico estressado no trânsito",Impatiens
706,"Não tenho coragem de negar",Centaury
707,"Sorrio querendo chorar",Agrimony
708,"Cuido e quero gratidão",Chicory
709,"Não descanso nunca",Vervain
710,"Fico balançando na dúvida",Scleranthus
711,"Tenho medo de raios",Mimulus
712,"Sinto medo ao acordar",Aspen
713,"Tive ataque de pânico",Rock Rose
714,"Nada me dá esperança",Gorse
715,"Odeio computador lento",Impatiens
716,"Faço tudo que mandam",Centaury
717,"Busco diversão e álcool",Agrimony
718,"Sinto ciúmes dos amigos",Chicory
719,"Sou fanático por justiça",Vervain
720,"Não sei se vou ou fico",Scleranthus
721,"Tenho medo de dor",Mimulus
722,"Sinto que sou observado",Aspen
723,"Fiquei sem ar de medo",Rock Rose
724,"Me conformei com a dor",Gorse
725,"Não tenho paciência",Impatiens
726,"Sou capacho do chefe",Centaury
727,"Não gosto de preocupar",Agrimony
728,"Faço chantagem com choro",Chicory
729,"Fico tenso tentando mudar",Vervain
730,"Mudo de ideia sempre",Scleranthus
731,"Tenho medo de ladrão",Mimulus
732,"Sinto pressentimento ruim",Aspen
733,"Meus pesadelos assustam",Rock Rose
734,"Não acredito em cura",Gorse
735,"Fico batendo dedos",Impatiens
736,"Não imponho limites",Centaury
737,"Estou sempre brincando",Agrimony
738,"Me sinto rejeitado",Chicory
739,"Sou intenso demais",Vervain
740,"Fico paralisado",Scleranthus
741,"Tenho medo de cobra",Mimulus
742,"Sinto medo súbito",Aspen
743,"Tive sensação de morte",Rock Rose
744,"Estou entregue",Gorse
745,"Odeio gente devagar",Impatiens
746,"Faço favores demais",Centaury
747,"Evito ficar só",Agrimony
748,"Corrijo as pessoas",Chicory
749,"Não consigo relaxar",Vervain
750,"Fico pesando tudo",Scleranthus
751,"Tenho medo de críticas",Mimulus
752,"Sinto arrepios",Aspen
753,"Entrei em pânico",Rock Rose
754,"Nasci com má sorte",Gorse
755,"Me irrito com lentidão",Impatiens
756,"Sou muito submisso",Centaury
757,"Finjo alegria",Agrimony
758,"Me magoo fácil",Chicory
759,"Luto o tempo todo",Vervain
760,"Não sei escolher",Scleranthus
761,"Tenho medo da velhice",Mimulus
762,"Sinto medo sobrenatural",Aspen
763,"Fiquei branco de susto",Rock Rose
764,"Não vejo luz",Gorse
765,"Quero para ontem",Impatiens
766,"Deixo montarem em mim",Centaury
767,"Sou palhaço triste",Agrimony
768,"Tenho controle sobre eles",Chicory
769,"Sou entusiasmado demais",Vervain
770,"Minha indecisão atrapalha",Scleranthus
771,"Tenho medo de cair",Mimulus
772,"Sinto algo ruim aqui",Aspen
773,"Tive terror no avião",Rock Rose
774,"Tentei de tudo",Gorse
775,"Não aguento esperar",Impatiens
776,"Não defendo interesses",Centaury
777,"Busco paz sempre",Agrimony
778,"Faço tudo por amor",Chicory
779,"Sou um cruzado",Vervain
780,"Fico tonto de dúvida",Scleranthus
781,"Tenho medo de sangue",Mimulus
782,"Sinto medo desconhecido",Aspen
783,"O pânico desmaiou",Rock Rose
784,"Estou condenado",Gorse
785,"Fico nervoso na fila",Impatiens
786,"Sou capacho emocional",Centaury
787,"Uso álcool",Agrimony
788,"Sou mãe galinha",Chicory
789,"Não durmo pensando",Vervain
790,"Não sei se caso",Scleranthus
791,"Tenho medo de palco",Mimulus
792,"Sinto apreensão",Aspen
793,"O terror me pegou",Rock Rose
794,"Não tenho forças",Gorse
795,"Falo depressa",Impatiens
796,"Faço a vontade deles",Centaury
797,"Detesto discutir",Agrimony
798,"Ninguém me ama",Chicory
799,"Sou tenso e rígido",Vervain
800,"Fico dividido",Scleranthus
801,"Tenho medo de câncer",Mimulus
802,"Sinto medo de dormir",Aspen
803,"Fiquei gelado",Rock Rose
804,"Aceitei meu destino",Gorse
805,"Odeio quem enrola",Impatiens
806,"Sou muito fraco",Centaury
807,"Estou sempre rindo",Agrimony
808,"Sou um mártir",Chicory
809,"Tento converter todos",Vervain
810,"Minha cabeça é pêndulo",Scleranthus
811,"Tenho medo de barata",Mimulus
812,"Sinto presença maligna",Aspen
813,"O terror paralisou",Rock Rose
814,"Não acredito",Gorse
815,"Sou elétrico",Impatiens
816,"Me anulo",Centaury
817,"Odeio chorar",Agrimony
818,"Manipulo com culpa",Chicory
819,"Sou exagerado",Vervain
820,"Troco de roupa mil vezes",Scleranthus
821,"Tenho medo de estrada",Mimulus
822,"Sinto medo abstrato",Aspen
823,"Entrei em pânico no escuro",Rock Rose
824,"Me resignei",Gorse
825,"Tomo o trabalho",Impatiens
826,"Sou explorado",Centaury
827,"Busco harmonia",Agrimony
828,"Fico doente se afastam",Chicory
829,"Sou perfeccionista",Vervain
830,"Não sei se quero",Scleranthus
831,"Tenho medo do chefe",Mimulus
832,"Sinto algo terrível",Aspen
833,"Tive pesadelos",Rock Rose
834,"Não há saída",Gorse
835,"Fico ansioso",Impatiens
836,"Faço tudo",Centaury
837,"Minha alegria esconde",Agrimony
838,"Lembro o que fiz",Chicory
839,"Sou incansável",Vervain
840,"Fico mudando",Scleranthus
841,"Tenho medo da prova",Mimulus
842,"Sinto sombra",Aspen
843,"O pânico tirou a voz",Rock Rose
844,"Estou descrente",Gorse
845,"Não tenho paciência",Impatiens
846,"Sou um empregado",Centaury
847,"Evito conflitos",Agrimony
848,"Me faço de vítima",Chicory
849,"Me estresso",Vervain
850,"Não sei o caminho",Scleranthus
851,"Tenho medo de nadar",Mimulus
852,"Sinto medo de presságio",Aspen
853,"Fiquei petrificado",Rock Rose
854,"Nunca vou ser feliz",Gorse
855,"Fico irritado",Impatiens
856,"Não tenho personalidade",Centaury
857,"Disfarço ansiedade",Agrimony
858,"Preciso que precisem",Chicory
859,"Sou muito tenso",Vervain
860,"Fico indeciso",Scleranthus
861,"Tenho medo de rato",Mimulus
862,"Sinto medo de energia",Aspen
863,"O terror tomou conta",Rock Rose
864,"Já aceitei",Gorse
865,"Odeio elevador",Impatiens
866,"Sou muito servil",Centaury
867,"Finjo que não tenho",Agrimony
868,"Choro para conseguir",Chicory
869,"Sou enfático",Vervain
870,"Estou feliz e triste",Scleranthus
871,"Tenho medo de demissão",Mimulus
872,"Sinto medo de vulto",Aspen
873,"Tive ataque de nervos",Rock Rose
874,"Desisti de lutar",Gorse
875,"Completo frases",Impatiens
876,"Não nego dinheiro",Centaury
877,"Sou a pessoa mais feliz",Agrimony
878,"Sou possessiva",Chicory
879,"Quero salvar o mundo",Vervain
880,"Não sei se estudo",Scleranthus
881,"Tenho medo de trovão",Mimulus
882,"Sinto medo de pesadelo",Aspen
883,"Fiquei cego de pânico",Rock Rose
884,"Não acredito em milagre",Gorse
885,"Ando na frente",Impatiens
886,"Faço trabalho sujo",Centaury
887,"Busco companhia",Agrimony
888,"Sinto ciúmes",Chicory
889,"Sou fanático",Vervain
890,"Fico em dúvida",Scleranthus
891,"Tenho medo de multidão",Mimulus
892,"Sinto inquietação",Aspen
893,"O terror me fez tremer",Rock Rose
894,"Estou sem esperança",Gorse
895,"Falo depressa demais",Impatiens
896,"Sou capacho",Centaury
897,"Sou otimista demais",Agrimony
898,"Cobro presença",Chicory
899,"Sou missionário",Vervain
900,"Não consigo decidir",Scleranthus
901,"Tenho medo de aranha",Mimulus
902,"Sinto medo do silêncio",Aspen
903,"Tive pânico de engasgar",Rock Rose
904,"Já tentei tudo",Gorse
905,"Fico nervoso na fila",Impatiens
906,"Não sei impor",Centaury
907,"Evito assuntos tristes",Agrimony
908,"Me sinto dona",Chicory
909,"Sou tenso",Vervain
910,"Fico oscilando",Scleranthus
911,"Tenho medo de estranhos",Mimulus
912,"Sinto medo de obsessor",Aspen
913,"Fiquei paralisado",Rock Rose
914,"Estou resignado",Gorse
915,"Sou impaciente",Impatiens
916,"Faço tudo",Centaury
917,"Estou sempre rindo",Agrimony
918,"Faço chantagem",Chicory
919,"Tento convencer",Vervain
920,"Não sei se compro",Scleranthus
921,"Tenho medo de errar",Mimulus
922,"Sinto medo ruim",Aspen
923,"O pânico suou frio",Rock Rose
924,"Não tenho fé",Gorse
925,"Quero agora",Impatiens
926,"Sou passivo",Centaury
927,"Odeio brigas",Agrimony
928,"Organizo a festa",Chicory
929,"Sou rígido",Vervain
930,"Fico balançando",Scleranthus
931,"Tenho medo de injeção",Mimulus
932,"Sinto medo de dormir",Aspen
933,"Acordei berrando",Rock Rose
934,"Estou conformado",Gorse
935,"Fico irritado",Impatiens
936,"Não tenho voz",Centaury
937,"Sou animador",Agrimony
938,"Sinto que dou muito",Chicory
939,"Luto contra o sistema",Vervain
940,"Não sei se viajo",Scleranthus
941,"Tenho medo de moto",Mimulus
942,"Sinto medo estranho",Aspen
943,"O terror emudeceu",Rock Rose
944,"Não adianta esperança",Gorse
945,"Sou acelerado",Impatiens
946,"Faço o que mandam",Centaury
947,"Finjo não importar",Agrimony
948,"Sou possessiva",Chicory
949,"Sou fanático",Vervain
950,"Fico indeciso",Scleranthus
951,"Tenho medo de doença",Mimulus
952,"Sinto medo invisível",Aspen
953,"Tive ataque de pânico",Rock Rose
954,"Acredito que é perdido",Gorse
955,"Não suporto reuniões",Impatiens
956,"Sou bonzinho demais",Centaury
957,"Disfarço a dor",Agrimony
958,"Fico magoada",Chicory
959,"Sou intenso",Vervain
960,"Oscilo muito",Scleranthus
961,"Tenho medo de assalto",Mimulus
962,"Sinto medo de assombração",Aspen
963,"Fiquei travado",Rock Rose
964,"Estou sem esperanças",Gorse
965,"Fico nervoso",Impatiens
966,"Não sei dizer não",Centaury
967,"Sou pacífico",Agrimony
968,"Corrijo a postura",Chicory
969,"Sou incansável",Vervain
970,"Não sei se vou",Scleranthus
971,"Tenho medo de escada",Mimulus
972,"Sinto medo não vejo",Aspen
973,"O pânico correu",Rock Rose
974,"Aceitei ser infeliz",Gorse
975,"Como correndo",Impatiens
976,"Sou submisso",Centaury
977,"Escondo lágrimas",Agrimony
978,"Sinto ciúmes",Chicory
979,"Quero convencer",Vervain
980,"Fico em dúvida",Scleranthus
981,"Tenho medo de motorzinho",Mimulus
982,"Sinto medo ruim",Aspen
983,"O terror não deixa dormir",Rock Rose
984,"Desisti de tentar",Gorse
985,"Não tenho paciência",Impatiens
986,"Faço tudo",Centaury
987,"Busco festas",Agrimony
988,"Sou controladora",Chicory
989,"Sou entusiasmado",Vervain
990,"Não sei se corto",Scleranthus
991,"Tenho medo de cachorro",Mimulus
992,"Sinto medo funesto",Aspen
993,"Fiquei paralisado",Rock Rose
994,"Acho que não tem jeito",Gorse
995,"Me irrito fácil",Impatiens
996,"Sou um capacho",Centaury
997,"Não gosto de tristeza",Agrimony
998,"Me sinto ofendida",Chicory
999,"Luto por causas",Vervain
1000,"Fico indeciso",Scleranthus